カテゴリー,年号,日付,本文ソース
お知らせ,2025,2025年5月21日,"<a href=""https://www.odex-telex.jp/lp/index.php"" target=""_blank"">「デジタル化・DX推進展」に出展いたします。<br>透過型XRグラス・セミナー（事前申込制）、LCM運用サービス、テレマティクスの展示や生成AIのワークショップも開催。イベント参加登録はこちらから。</a>"
新製品ニュース ,2025,2025年3月25日,"<a href=""/press-release/20250325.html"">AIと先進デバイスで実現する今後のソリューションビジネス方針<br>－生成AIの導入支援サービスの受注開始、AIドラレコの収集データが見える
ポータルサイトアップデート、PC運用におけるAI活用の拡張について－
			</a>"
コンテンツ公開更新のお知らせ,2025,2025年3月18日,"<a href=""/solution/dynaschool/event/edix2025/index.html"">第16回　EDIX（教育総合展）東京ページを公開しました。</a>"
新製品ニュース ,2025,2025年3月10日,"<a href=""/press-release/20250310.html"">透過型XRグラス「dynaEdge XR1」受注開始<br>－XR技術とAI技術を活用したソリューションで、人とコンピューティングの新しい関係性へ－
			</a>"
コンテンツ公開更新のお知らせ,2025,2025年2月19日,"<a href=""/business/jirei/jirei23/index.html"">お客様事例に「日本リーテック株式会社」様を掲載しました。</a>"
新製品ニュース ,2025,2025年2月12日,"<a href=""/press-release/20250212.html"">16.0型の大型液晶を搭載し、動画視聴や編集作業がより快適に。デザインも一新し、インテリアにもマッチする個人向けノートPCを商品化<br>－お客様ご自身でバッテリーの交換が可能な「セルフ交換バッテリー」を採用－
			</a>"
新製品ニュース ,2025,2025年2月6日,"<a href=""/press-release/20250206.html"">Dynabook 西日本LCMセンターを新たに設立<br>
            －新たに西日本に拠点を設けることで、作業受け入れキャパシティの拡大やリードタイム短縮に貢献－</a>"
新製品ニュース ,2025,2025年1月23日,"<a href=""/press-release/20250123.html"">「セルフ交換バッテリー」を採用し、
    「インテル<sup style=""vertical-align: super;font-size: 0.75em;"">®</sup> Core™ Ultraプロセッサー(シリーズ2)」を搭載したCopilot+ PC「dynabook XP9」を商品化<br>
    －法人のお客様向け「dynabook X94」も同時発表－</a>"
新製品ニュース ,2025,2025年1月21日,"<a href=""/press-release/20250121.html"">Dynabookから法人向けに、au回線を利用したMVNOサービス<br>
    「dynabook eSIM Startin’ 」を開始。データ通信4年間無制限の利用権付きモバイルPCを発売<br>
    －「dynabook X83/LY」をはじめ、対応モバイルノートPCを順次拡大予定－</a>"
新製品ニュース ,2025,2025年1月15日,"<a href=""/business-mobile-notebook-rj-series/rj73my-jan-2025-13-3-inch.html"">法人向け13.3型軽量・薄型プレミアムモバイルノートPC「dynabook RJ73/MY」<sup>*</sup>を新発売。インテル<sup>®</sup> Core™ Ultra プロセッサー搭載。高性能を軽量ボディに凝縮。</a>
<p style=""font-size: 0.85em; margin-top: 1em;"">*販売店様、リセラー様向けモデル</p>"
コンテンツ公開更新のお知らせ ,2024,2024年12月20日,"<a href=""/event/dynabookday/index.html"">「dynabook Days 2025」お申し込みページを公開しました。</a>"
コンテンツ公開更新のお知らせ ,2024,2024年12月17日,"<a href=""/brand/no1/index.html"">法人向けノートPCブランド別「国内シェアNo.1」ページを公開しました。</a>"
コンテンツ公開更新のお知らせ ,2024,2024年12月12日,"<a href=""/business/jirei/jirei22/index.html"">お客様事例に「島根県益田市」様を掲載しました。</a>"
新製品ニュース ,2024,2024年12月5日,"<a href=""/press-release/20241205.html"" style=""letter-spacing: -0.4px;"">Dynabookより、透過型XRグラス「dynaEdge XR1」発表<br>
    －両眼透過型タイプにより仮想UI表示領域を大幅に向上、さらなる現場DXの実現、働き方を変えるオフィスソリューションの提供、新たな体験価値の創出へ－</a>"
新製品ニュース ,2024,2024年11月29日,"<a href=""/press-release/20241129.html"" style=""letter-spacing: -0.4px;"">PC台帳管理システム「PCアセットモニタリングサービス」の機能をアップデート<br>
    －自動収集データ分析とお知らせ機能の提供を開始－</a>"
新製品ニュース ,2024,2024年11月28日,"<a href=""/press-release/20241128.html"" style=""letter-spacing: -0.4px;"">一回り大きい14型液晶画面と「セルフ交換バッテリー」機構を採用したプレミアムモバイルノートPC「dynabook X74」を商品化<br>
    －ダウンタイムの最小化とパフォーマンスの最大化を狙い14.0型モバイルPCラインアップ拡充－</a>"
新製品ニュース ,2024,2024年11月21日,"<a href=""/press-release/20241121.html"" style=""letter-spacing: -0.4px;"">10.1型液晶を搭載、2in1デタッチャブルタイプを採用した、Chromebook™「Dynabook Chromebook C70」の発売を開始 <br>
    －「GIGAスクール構想」第2期に対応、教育現場に望まれる堅牢性と使いやすさを徹底的に追求－</a>"
コンテンツ公開更新のお知らせ ,2024,2024年11月1日,"<a href=""/business/jirei/jirei21/index.html"">お客様事例に「大塚ビジネスサポート株式会社」様を掲載しました。</a>"
コンテンツ公開更新のお知らせ ,2024,2024年10月29日,"<a href=""/business/contents/win11-migration/index.html"">「Windows 11移行なら安心のDynabook」を公開しました。</a>"
新製品ニュース ,2024,2024年10月28日,"<a href=""/business-mobile-notebook-ga-series/ga83xy-aug-2024-13-3-inch.html"">法人向け13.3型軽量・薄型ハイスタンダードモバイルノートPC「dynabook GA83」にAMD製Ryzen™ 5 7430U プロセッサーCPU搭載モデルを追加</a>"
コンテンツ公開更新のお知らせ ,2024,2024年9月24日,"<a href=""/business/ai/ai-ready/index.html"">「dynabook Ready AI」を掲載しました。</a>"
お知らせ,2024,2024年8月29日,"<a href=""/press-release/20240829.html"">「日経コンピュータ パートナー満足度調査 2024」法人向けPC部門 1位、「日経BPガバメントテクノロジー 自治体ITシステム満足度調査 2023-2024」クライアントパソコン（ノートPC）部門1位と合わせ、３冠を達成しました。</a>"
新製品ニュース ,2024,2024年8月28日,"<a href=""/press-release/20240828.html"">高速処理性能や高いモビリティ性能を兼ね備えたプレミアムモバイルノートPCに、新たにAI専用エンジン内蔵のインテル<sup>®</sup> Core™ Ultra プロセッサーを搭載<br>
    －Copilotキーを搭載しPCラインアップ計22機種を刷新－</a>"
新製品ニュース ,2024,2024年6月26日,"<a href=""/press-release/20240626.html"">世界初<sup>*</sup>のノートPC「dynabook」誕生から、おかげさまで35周年<br>
    －AI時代も、人に寄り添う、真のパーソナルコンピュータを目指して－</a>
<p style=""font-size: 0.85em; margin-top: 1em;"">*1989年、世界初のノートPC「DynaBook J-3100 SS001」を発売。</p>"
コンテンツ公開更新のお知らせ ,2024,2024年6月26日,"<p><a href=""/brand/35th.html"">dynabook35周年記念スペシャルサイトを公開しました。</a>
</p>"
新製品ニュース ,2024,2024年4月23日,"高性能インテル<sup>®</sup> Core™ プロセッサー（シリーズ1）を選択できる13.3型スタンダードモバイルノート「<a href=""/business-mobile-notebook-sj-series/sj73lx-apr-2024-13-3-inch.html"">dynabook SJ73/LX</a>」と14.0型オフィス内モバイルノート「<a href=""/business-mobile-notebook-mj-series/mj64lx-apr-2024-14-0-inch.html"">dynabook MJ64/LX</a>」を法人向けラインアップに追加"
コンテンツ公開更新のお知らせ ,2024,2024年4月22日,"<a href=""/business/degitalexhibition-2024/index.html"">「dynabook Days 2024 デジタル展示会」を公開しました。</a>"
新製品ニュース ,2024,2024年4月17日,"<a href=""/press-release/20240417.html"">DynabookがChromebook™市場へ本格参入<br>
    － GIGAスクール構想第2期に向け、2in1デタッチャブル型Chromebook™<br>「Dynabook Chromebook C70」を商品化－</a>"
お知らせ,2024,2024年2月1日,"<a href=""/press-release/20240201.html"">Dynabookが「dynabook Days 2024」を開催<br>
    AIで未来を切り拓く、新たなイノベーションのご提案　最新XR技術や最新モデルを展示<br>
    －dynabook最新PCとAI活用ソリューション セミナー＆展示会－</a>"
新製品ニュース ,2024,2024年1月30日,"<a href=""/press-release/20240130.html"">高負荷なクリエイティブ作業を可能にする5 in 1プレミアムPenノートPC「dynabook V83/LX」を新発売<br>
    －インテル<sup>®</sup>第13世代CPU搭載で目的に合わせた多様な使い方がさらに便利に－</a>"
お知らせ,2024,2024年1月15日,"<b>【システムメンテナンスのお知らせ】</b><br>
下記の日程においてシステムメンテナンスを実施いたします。<br>
<b>メンテナンス期間： 2024年1月20日（土）AM0:00 ～ AM 3:20</b>　※若干前後する可能性がございます。<br>
メンテナンス期間中、当社ウェブサイトは一時的に正しく表示されない場合がございます。<br>
上記の時間帯避けてご利用いただければ幸いです。<br>
お客様には誠にご迷惑をおかけいたしますが、何卒よろしくご了承のほどお願い申し上げます。"
新製品ニュース ,2023,2023年12月5日,"<p><a href=""/b/catalog/dbi-462.pdf"" target=""_blank"">10.1型　2 in 1デタッチャブルノートPC「dynabook K70」を商品化</a></p>"
コンテンツ公開更新のお知らせ ,2023,2023年12月1日,"<p><a href=""/battery/jeita-list.html#business"">「JEITAバッテリ動作測定法による駆動時間一覧」を公開しました。
</a>
</p>"
コンテンツ公開更新のお知らせ ,2023,2023年12月1日,"<a href=""/solution/outsourcing/lcm/pc-asset.html"">PCアセットモニタリングサービスの機能を拡充しました。<br>PCの位置情報が確認できるようになりました。
</a>"
新製品ニュース ,2023,2023年11月15日,"<p><a href=""/press-release/20231115.html"">Dynabookより法人事業主向けに通信機能付きドライブレコーダーを活用したテレマティクスサービスを開始<br>
    －AIを活用した先進運転支援機能で業務用車両の安全運転に貢献－</a></p>"
お知らせ,2023,2023年11月1日,"<a href=""https://dynabook.com/press-release/20230718.html"">「dynabook X83 CHANGER」について、7月18日の発表時にキーストローク２ｍｍのキーボード搭載モデル、タッチ付きWUXGA液晶搭載モデル、LTE（4G）対応ワイヤレスWANモデルの発売を12月予定としておりましたが、LTE（4G）対応ワイヤレスWANモデルにつきましては、2024年3月発売予定に変更させていただきます。</a>"
新製品ニュース ,2023,2023年10月30日,"<p><a href=""/press-release/20231030.html"">dynabook X83 CHANGER向け「セルフ交換バッテリー」を提供する保守サービス「dynabook X83 バッテリー提供サービス」を提供開始<br>
    －サービス期間内、必要な時に、迅速に「セルフ交換バッテリー」をお届け－</a></p>"
新製品ニュース ,2023,2023年10月12日,"<p><a href=""/press-release/20231012.html"">dynabookにAMD製のRyzen™ 7000を搭載した法人向け13.3型軽量・薄型ハイスタンダードモバイルノートPCを新たに商品化<br>
    －法人向けモバイルノートPCのラインアップを大幅に強化拡充－</a></p>"
新製品ニュース ,2023,2023年9月13日,"<p><a href=""/press-release/20230913.html"">軽量・薄型の高品質ボディを採用しながら、最新のインテル<sup>®</sup>第13世代CPUの高速処理性能と堅牢性とを両立させたプレミアムモバイルノートPCを新発売<br>
    －インテル<sup>®</sup>最新CPU搭載4機種を含めた計16機種でラインアップを拡充－</a></p>"
新製品ニュース ,2023,2023年8月17日,"<p><a href=""/business/mecd/solution/ai-inspection.html#scene2"">画像認識AIソリューション 新機能「作業者動作検知機能」 をリリースしました。<br>
    詳細は製品ページ内 ""活用シーン②"" を参照ください。
</a></p>"
コンテンツ公開更新のお知らせ ,2023,2023年8月2日,"<a href=""/solution/outsourcing/lcm/pc-asset.html"">「PCアセットモニタリングサービス」ページを公開しました。</a>"
新製品ニュース ,2023,2023年7月18日,"<p><a href=""/press-release/20230718.html"">ビジネスのダウンタイムの最小化とパフォーマンスの最大化を狙ったモバイルノートPCとして、<br>
    「セルフ交換バッテリー」機構を採用した「dynabook X83」を発売</a></p>"
コンテンツ公開更新のお知らせ ,2023,2023年7月10日,"<a href=""/solution/car-telematics/drive-recorder/index.html"">「テレマティクスソリューション ドライブレコーダー」ページを公開しました。</a>"
コンテンツ公開更新のお知らせ ,2023,2023年7月7日,"<a href=""/business/mecd/solution/picking.html"">「dynaEdge ピッキング支援ソリューション」ページを公開しました。</a>"
新製品ニュース ,2023,2023年6月30日,"<p><a href=""/solution/security/withsecure/index.html"">エンドポイントセキュリティソリューション<br>
    WithSecure Elements Endpoint Protection Computer Editonの取り扱いを開始いたします。</a></p>"
コンテンツ公開更新のお知らせ ,2023,2023年6月30日,"<a href=""/solution/security/with-secure/index.html"">新商品WithSecure Elements Endpoint Protection Computer Editionのページを公開しました。</a><br><br>
<a href=""/business/contents/csp/microsoft365.html"">「Microsoft 365で変わる働き方改革」 ページ掲載情報を更新しました。</a>"
新製品ニュース ,2023,2023年6月29日,"<a href=""/press-release/20230629.html""> 15.6型液晶と第13世代インテル<sup>®</sup>CPUを搭載しながら薄型軽量化と高速処理とを両立した法人向けスリムモバイルノートPC「dynabook P55」を新発売<br>
    －光学ドライブ<sup>＊</sup>を搭載した大画面ビジネスノートPCを含め計3機種を新たに商品化－</a>
<p style=""font-size: 0.85em; margin-top: 1em;"">*DVDスーパーマルチドライブか、DVD-ROMドライブが選択できます。</p>"
お知らせ,2023,2023年6月26日,"【ウェブサイトメンテナンスのお知らせ】<br>
下記の日程においてウェブサイト（dynabook.com）のメンテナンスを実施いたします。メンテナンス期間中、当社ウェブサイトは一時的に正しく表示されない場合がございます。<br>
[メンテナンス期間] 2023年7月2日（日）AM 2:00 ～ AM 6:00<br>
<p class=""mente-stx"">※若干前後する可能性がございます。</p>
お客様には誠にご迷惑をおかけいたしますが、何卒よろしくご了承のほどお願い申し上げます。"
コンテンツ公開更新のお知らせ ,2023,2023年4月25日,"<a href=""/solution/outsourcing/lcm/index.html"">「LCM運用サービス」ページをリニューアルしました。</a>"
コンテンツ公開更新のお知らせ ,2023,2023年4月21日,"<a href=""/business/jirei/ict17/index.html"">お客様事例に「学校法人鹿島学園 鹿島学園高等学校」様を掲載しました。</a>"
コンテンツ公開更新のお知らせ ,2023,2023年3月28日,"<a href=""/business/jirei/jirei17/index.html"">お客様事例に「株式会社TKC」様を掲載しました。</a>"
新製品ニュース ,2023,2023年2月13日,"<a href=""/press-release/20230213.html"">
    自社工場にて稼働中「画像認識AI を利用した作業品質改善ソリューション」<br>製造業向けに4月より提供開始<br>
    －後戻り作業削減により生産効率アップ－</a>"
コンテンツ公開更新のお知らせ ,2023,2023年2月13日,"<a href=""/business/mecd/solution/ai-inspection.html"">PC生産工場から誕生した「AI 不適合品検査」と「AI 作業者動作検査」を公開しました。</a>"
コンテンツ公開更新のお知らせ ,2023,2023年2月7日,"<a href=""/event/dynabookday/index.html"">「dynabook Days 2023 Online」お申し込みページを公開しました。</a>"
新製品ニュース ,2022,2022年12月21日,"<a href=""/press-release/20221221.html"">
    PCの導入から廃棄までをDynabookが代行管理する<br>「ライフサイクルマネジメント運用サービス」を強化拡充<br>
    －新たに情報を集約管理するポータルサイトと「PC運用コンサル」の提供を開始－</a>"
新製品ニュース ,2022,2022年11月30日,"<a href=""/press-release/20221130.html"">
    長期間安定して使用できるWindows Embedded OSを搭載した<br>法人向けデスクトップPCを新発売</a>"
新製品ニュース ,2022,2022年11月7日,"<a href=""/press-release/20221107.html"">
    法人向けPC全ラインアップに最新バージョンのWindows 11 Proを搭載。<br>
    第12世代インテル<sup>®</sup> Core™ プロセッサーとその性能を引き出す<br>
    「エンパワーテクノロジー」搭載モデルを追加し、ラインアップを拡充<br>
    －第11世代インテル<sup>®</sup> Core™ プロセッサー搭載モデル等を含むPC新商品 計13機種を発表－</a>"
コンテンツ公開更新のお知らせ ,2022,2022年10月17日,"<a href=""/business/mecd/product/de200-mar-2022/minipc.html"">「手のひらサイズのWindows mini PC dynaEdge DE200」ページを公開しました。</a>"
コンテンツ公開更新のお知らせ ,2022,2022年10月12日,"<a href=""/business/jirei/ict16/index.html"">お客様事例に「大野城市教育委員会 」様を掲載しました。</a>"
コンテンツ公開更新のお知らせ ,2022,2022年9月6日,"<a href=""/business/jirei/jirei16/index.html"">お客様事例に「株式会社カナモト）」様を掲載しました。</a>"
新製品ニュース ,2022,2022年9月5日,"<a href=""/press-release/20220905.html"">
    14型液晶を搭載しながらも、13.3型並みの薄型・コンパクトボディ<br>法人向けモバイルノートPC「dynabook MJ64」が登場<br>
    －高速処理と充実の拡張性を両立したデスクトップPCも新たに投入－</a>"
新製品ニュース ,2022,2022年8月22日,"<a href=""/business-2in1-notebook/v83ku-mar-2022-13-3-inch-5in1-convertible.html"">法人向け5in１プレミアムPenノート　V83/KUにLTE対応ワイヤレスWAN搭載モデルを追加</a>"
新製品ニュース ,2022,2022年7月28日,"<a href=""/business-mobile-notebook-rj-series/rj74ku-jan-2022-14-0-inch.html"">法人向けプレミアムモバイルノートPC RJ74/KUにLTE対応ワイヤレスWAN搭載モデルを追加</a>"
コンテンツ公開更新のお知らせ ,2022,2022年7月8日,"<a href=""/business/jirei/jirei15/index.html"">お客様事例に「北海道ぎょれん（北海道漁業協同組合連合会）」様を掲載しました。</a>"
新製品ニュース ,2022,2022年7月1日,"<a href=""/press-release/20220701.html"">Dynabookより損害保険ジャパン株式会社の法人・個人事業主向け<br>
    事故防止サービスへ新型通信機能付きドライブレコーダーの供給を開始<br>
    ～事故防止活動支援機能を追加し、サービス刷新～</a>"
新製品ニュース ,2022,2022年6月29日,"<a href=""/business-notebook-b-series/b75hu-jun-2022-15-6-inch.html"">vProテクノロジー搭載の大画面ビジネスノートdynabook B75/HUを法人向けラインアップに追加</a>"
コンテンツ公開更新のお知らせ ,2022,2022年6月29日,"<a href=""/solution/outsourcing/win11-migration/replace.html"">「PCリプレース支援サービス」の移行先PCとしてWindows 10搭載PCを追加掲載しました。</a><br>
<br>
<a href=""/business/mecd/product/de200-mar-2022/index.html"">dynaEdge DE200に、LTE対応ワイヤレスWAN搭載モデル、製造ライン・医療分野・受付端末などの特定用途向けのWindows 10 IoT Enterpriseモデルを追加掲載しました。</a>"
コンテンツ公開更新のお知らせ ,2022,2022年6月22日,"<a href=""/business/seminar/mecd-seminar/form.html"">「dynaEdge ソリューション オンラインセミナー申し込みページ」を公開しました。</a>"
新製品ニュース ,2022,2022年6月20日,"<a href=""/business-mobile-notebook-g-series/g83ku-mar-2022-13-3-inch.html"">法人向けプレミアムモバイルノートPC G83/KUにLTE対応ワイヤレスWAN搭載モデルを追加</a>"
コンテンツ公開更新のお知らせ ,2022,2022年6月9日,"<a href=""/business/security_nist/index.html"">「セキュリティで選ぶならdynabook」を公開しました。</a>"
コンテンツ公開更新のお知らせ ,2022,2022年5月24日,"<a href=""/business/degitalexhibition-2022/index.html"">「Dynabook デジタル展示会」を公開しました。</a>"
新製品ニュース ,2022,2022年4月27日,"<a href=""/press-release/20220427.html"">企業向けWindows 11搭載 PCへのリプレース作業はDynabookへおまかせ<br>
    「PCリプレース支援サービス」を5月9日より提供開始<br>
    －まとまった台数でも効率の良いデータ移行作業を実現、IT生産性向上へ寄与－</a><br>
<br>
教育用モデルとして、10.1型液晶にWindows 10（Windows 11 Pro ダウングレード権行使。Windows 11へ無償アップグレードできます。<sup>*</sup>）を搭載した2in1デタッチャブルPC<a href=""https://dynabook.com/b/catalog/dbi-359.pdf"" target=""_blank"">「dynabook K60」「dynabook K50」</a>を拡充
<p style=""font-size: 0.85em; margin-top: 1em;line-height: 1.5;text-indent: -1em;padding-left: 1em;"">＊Windows 11へのアップグレードは2021年下旬～2022年に対象となるデバイスに提供される予定です。時期はデバイスによって異なります。 機能によっては特定のハードウェアが必要です（aka.ms/windows11-spec 参照）。</p>"
コンテンツ公開更新のお知らせ ,2022,2022年4月8日,"<a href=""/business/security_nist/index.html"">「NIST SP 800-193に準拠したPCを導入するならdynabook」を公開しました。</a>"
コンテンツ公開更新のお知らせ ,2022,2022年4月5日,"<a href=""/business/jirei/jirei14/index.html"">お客様事例に「小柳建設株式会社」様を掲載しました。</a>"
新製品ニュース ,2022,2022年3月16日,"<a href=""/press-release/20220316.html"">法人向け全ラインアップに最新OS Windows 11 Proを搭載<br>
    第12世代 インテル<sup>®</sup> CPU搭載<sup>注１</sup>モデルを追加しラインアップを拡充。<br>
    －インテル<sup>®</sup> Evo™モデルを含むハイブリッドワークを支えるPC新商品14機種を発表－</a>
<p style=""font-size: 0.85em; margin-top: 1em;"">注1：本製品に使われているプロセッサー（CPU）の処理能力は、お客様の本製品の使用状況により異なります。</p>"
お知らせ,2022,2022年2月17日,"<a href=""https://dynabook.com/info/20220217.pdf"" target=""_blank""> パッケージ型ＰＣ－ＬＣＭサービス「dynabookパッケージ」の提供開始 <img src=""/etc/designs/common/clientlibs/img/icon_link_01.svg"" alt=""別ウィンドウで開く""></a>"
新製品ニュース ,2022,2022年1月28日,"教育用モデルとして、10.1型液晶にWindows 11を搭載した2in1デタッチャブルPC<br>
「<a href=""/b/catalog/dbi-344.pdf"" target=""_blank"">dynabook K60</a>」「<a href=""/b/catalog/dbi-343.pdf"" target=""_blank"">dynabook K50</a>」を拡充"
新製品ニュース ,2022,2022年1月26日,"<a href=""/press-release/20220126.html"">世界初<sup>注１</sup>のノートPCメーカーDynabookが33年の技術と叡智を結集し、今の時代に求められるハイブリッドワーク向け14型ビジネスプレミアムモバイルPCを商品化<br>
    －第12世代 インテル<sup>®</sup> Core™ プロセッサーをいち早く搭載。「dynabook RJ74」－</a>
<p style=""font-size: 0.85em; margin-top: 1em;"">注1：1989年に世界初のノートPC「DynaBook J-3100SS001」を商品化。</p>"
コンテンツ公開更新のお知らせ ,2022,2022年1月25日,"<a href=""/business/jirei/jirei13/index.html"">お客様事例に「東京納品代行株式会社」様を掲載しました。</a><br>"
